'2017-09-29T04.34.11' 23.75 C, 74.75 F
'2017-09-29T04.34.13' 23.75 C, 74.75 F
'2017-09-29T04.34.15' 23.75 C, 74.75 F
'2017-09-29T04.34.17' 23.75 C, 74.75 F
'2017-09-29T04.34.19' 23.687 C, 74.6366 F
'2017-09-29T04.34.21' 23.687 C, 74.6366 F
'2017-09-29T04.34.22' 23.625 C, 74.525 F
'2017-09-29T04.34.24' 23.75 C, 74.75 F
'2017-09-29T04.34.26' 23.687 C, 74.6366 F
'2017-09-29T04.34.28' 23.75 C, 74.75 F
'2017-09-29T04.34.30' 23.75 C, 74.75 F
'2017-09-29T04.34.32' 23.75 C, 74.75 F
'2017-09-29T04.34.34' 23.75 C, 74.75 F
'2017-09-29T04.34.36' 23.75 C, 74.75 F
'2017-09-29T04.34.38' 23.75 C, 74.75 F
'2017-09-29T04.34.40' 23.75 C, 74.75 F
'2017-09-29T04.34.42' 23.75 C, 74.75 F
'2017-09-29T04.34.44' 23.75 C, 74.75 F
'2017-09-29T04.34.46' 23.75 C, 74.75 F
'2017-09-29T04.34.47' 23.75 C, 74.75 F
'2017-09-29T04.34.49' 23.75 C, 74.75 F
'2017-09-29T04.34.51' 23.75 C, 74.75 F
'2017-09-29T04.34.53' 23.75 C, 74.75 F
'2017-09-29T04.34.55' 23.75 C, 74.75 F
'2017-09-29T04.34.57' 23.75 C, 74.75 F
'2017-09-29T04.34.59' 23.75 C, 74.75 F
'2017-09-29T04.35.01' 23.75 C, 74.75 F
'2017-09-29T04.35.03' 23.75 C, 74.75 F
